Unnamed: 0,abstract,abstract_url,access_type,article_number,citing_paper_count,citing_patent_count,content_type,doi,end_page,html_url,is_number,issn,issue,pdf_url,publication_date,publication_number,publication_title,publication_year,publisher,rank,start_page,title,volume,authors.authors,index_terms.author_terms.terms,index_terms.ieee_terms.terms
0,"This paper presents a 950-MHz wireless power transmission system and a high-sensitivity rectifier circuit for ubiquitous sensor network tags. The wireless power transmission offers a battery-life-free sensor tag by recharging the output power of a base station into a secondary battery implemented with the tag. For realizing the system, a high-sensitivity rectifier with dynamic gate-drain biasing has been developed in a 0.3-/spl mu/m CMOS process. The measurement results show that the proposed rectifier can recharge a 1.2-V secondary battery over -14-dBm input RF power at a power conversion efficiency of 1.2%. In the proposed wireless system, this sensitivity corresponds to 10-m distance communication at 4-W output power from a base station.",https://ieeexplore.ieee.org/document/1564343/,LOCKED,1564343,310,2,Journals,10.1109/JSSC.2005.858620,41,https://ieeexplore.ieee.org/document/1564343/,33202,1558-173X,1.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1564343,Jan. 2006,4,IEEE Journal of Solid-State Circuits,2006,IEEE,1,35,A 950-MHz rectifier circuit for sensor network tags with 10-m distance,41,"[{'affiliation': 'Mobile Commun. Lab., Corp. R&D Center, Kawasaki, Japan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37347318800', 'author_order': 1, 'full_name': 'T. Umeda', 'id': 37347318800}, {'affiliation': 'Mobile Commun. Lab., Corp. R&D Center, Kawasaki, Japan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37292935100', 'author_order': 2, 'full_name': 'H. Yoshida', 'id': 37292935100}, {'affiliation': 'Mobile Commun. Lab., Corp. R&D Center, Kawasaki, Japan', 'authorUrl': 'https://ieeexplore.ieee.org/author/37266697000', 'author_order': 3, 'full_name': 'S. Sekine', 'id': 37266697000}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37555185700', 'author_order': 4, 'full_name': 'Y. Fujita', 'id': 37555185700}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37334199700', 'author_order': 5, 'full_name': 'T. Suzuki', 'id': 37334199700}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37275500500', 'author_order': 6, 'full_name': 'S. Otaka', 'id': 37275500500}]","['Bias voltage distributor', 'effective threshold voltage', 'high-sensitivity rectifier', 'radio-frequency identification (RFID)', 'wireless power transmission']","['Rectifiers', 'Circuits', 'Wireless sensor networks', 'Power transmission', 'Power generation', 'Base stations', 'Sensor systems', 'CMOS process', 'Battery charge measurement', 'Power measurement']"
1,"This paper proposes a high-efficiency bidirectional integrated zero-voltage transition (iZVT) pulsewidth-modulation (PWM) converter for dc-bus and battery-bank interface. The proposed converter can operate as battery charger when the utility is within its acceptable voltage range and can supply energy to critical loads when the utility fails. The converter practically eliminates both low- and high-frequency current ripple on the batteries, thus maximizing battery life without penalizing the volume of the converter. Moreover, soft switching of all switches is achieved using the proposed integrated auxiliary commutation circuit (iACC). Just one iACC is used to provide soft-switching conditions for the three converters that compose the system: the preregulator (boost), the battery charger (bidirectional converter operating as a buck), and the backup converter (bidirectional converter operating as a boost). This auxiliary circuit has few components and low reactive energy, increasing the system's overall efficiency. Experimental results based on a 580-W prototype are presented to validate the analysis and the proposed design procedure and to demonstrate the performance of the proposed approach",https://ieeexplore.ieee.org/document/1703726/,LOCKED,1703726,88,0,Journals,10.1109/TIA.2006.880847,1332,https://ieeexplore.ieee.org/document/1703726/,35953,1939-9367,5.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1703726,Sept.-Oct. 2006,28,IEEE Transactions on Industry Applications,2006,IEEE,2,1321,Analysis and Design of a New High-Efficiency Bidirectional Integrated ZVT PWM Converter for DC-Bus and Battery-Bank Interface,42,"[{'affiliation': 'Univ. de Caxias do Sul', 'authorUrl': 'https://ieeexplore.ieee.org/author/37275185800', 'author_order': 1, 'full_name': 'L. Schuch', 'id': 37275185800}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37274778400', 'author_order': 2, 'full_name': 'C. Rech', 'id': 37274778400}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37273871800', 'author_order': 3, 'full_name': 'H.L. Hey', 'id': 37273871800}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37086888674', 'author_order': 4, 'full_name': 'H.A. Grundlinggrundling', 'id': 37086888674}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37273854100', 'author_order': 5, 'full_name': 'H. Pinheiro', 'id': 37273854100}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37275188400', 'author_order': 6, 'full_name': 'J.R. Pinheiro', 'id': 37275188400}]","['Soft switching', 'uninterruptible power supply', 'zero-voltage transition (ZVT)']","['Pulse width modulation converters', 'Uninterruptible power systems', 'Batteries', 'Voltage', 'IEC standards', 'Costs', 'Switching circuits', 'Power system modeling', 'Power electronics', 'Pulse width modulation']"
2,"This paper presents a new compact CMOS Li-Ion battery charger for portable applications that uses a charge-pump technique. The proposed charger features a small chip size and a simple circuit structure. Additionally, it provides basic functions with voltage/current detection, end-of-charge detection, and charging speed control. The charger operates in dual-mode and is supported in the trickle/large constant-current mode to constant-voltage mode with different charging rates. This charger is implemented using a TSMC 0.35-mum CMOS process with a 5-V power supply. The output voltage is almost 4.2 V, and the maximum charging current reaches 700 mA. It has 67.89% power efficiency, 837-mW chip power dissipation, and only 1.455times1.348 mm<sup>2</sup> in chip area including pads",https://ieeexplore.ieee.org/document/4155033/,LOCKED,4155033,75,0,Journals,10.1109/TCSI.2007.890605,712,https://ieeexplore.ieee.org/document/4155033/,4155018,1558-0806,4.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4155033,April 2007,8919,IEEE Transactions on Circuits and Systems I: Regular Papers,2007,IEEE,3,705,New Compact CMOS Li-Ion Battery Charger Using Charge-Pump Technique for Portable Applications,54,"[{'affiliation': 'Dept. of Electron. Eng., Nat. Taipei Univ.', 'authorUrl': 'https://ieeexplore.ieee.org/author/37275285800', 'author_order': 1, 'full_name': 'Yuh-Shyan Hwang', 'id': 37275285800}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37292845900', 'author_order': 2, 'full_name': 'Shu-Chen Wang', 'id': 37292845900}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37292384600', 'author_order': 3, 'full_name': 'Fong-Cheng Yang', 'id': 37292384600}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37280667500', 'author_order': 4, 'full_name': 'Jiann-Jong Chen', 'id': 37280667500}]","['Charge pump', 'charger circuit', 'Li-Ion battery']","['Batteries', 'Charge pumps', 'Voltage', 'Circuits', 'Electromagnetic interference', 'Switches', 'Consumer electronics', 'Laboratories', 'Algorithm design and analysis', 'Velocity control']"
3,"This paper indicates the market for a van-type electric vehicle, provides the physical description, and presents the electrical principle of operation of a frequency modulated and pulsewidth modulated power system applied to a 27-kW three-phase squirrelcage age induction motor. This ac drive system, which represents the third generation in design, has been placed in a Dodge B-300 high production van of 2700 kg gross vehicle weight. The electrical energy is stored in 24 6-V 220-Ah batteries providing 144 V. Design speeds of the electronics for the vehicle are up to 90 km/h. Computer developed power factor and efficiency curves are given for the motor for the entire range of operating speeds. Electrical charge in the batteries may be replaced either by quick interchange of batteries a or through utilization of a 12-kg on-board charger with an electrical demand of 6 kW from a 220-V single-phase main. Finally, the paper discusses the economics of the ac drive LinearVan.",https://ieeexplore.ieee.org/document/4157643/,LOCKED,4157643,1,0,Journals,10.1109/TIA.1974.349203,552,https://ieeexplore.ieee.org/document/4157643/,4157638,1939-9367,5.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4157643,Sept. 1974,28,IEEE Transactions on Industry Applications,1974,IEEE,4,544,An AC Drive Electric Vehicle,IA-10,"[{'affiliation': 'Linear Alpha, Inc., Skokie, Ill. 60076.', 'authorUrl': 'https://ieeexplore.ieee.org/author/37294995100', 'author_order': 1, 'full_name': 'Ernest H. Wakefield', 'id': 37294995100}]",,"['Electric vehicles', 'Batteries', 'Pulse modulation', 'Pulse power systems', 'Frequency modulation', 'Space vector pulse width modulation', 'Induction motors', 'AC generators', 'Induction generators', 'Production systems']"
4,"Wireless communication now has the speed and power to converge seamlessly with other consumer and business electronics. However, battery technology has not kept pace with advancement in circuit technology. As a result, design of power management is becoming a more complex problem for this new generation of wireless devices with converged voice, data, and multimedia. In this paper, a highly integrated power management IC (PMIC) is presented which enables mobile devices that are more cost effective, thinner and more compact with better power efficiency. The overall architecture and system level design considerations are described. The design details of two key building blocks - low-dropout linear regulator (LDO) and switch-mode DC-DC converter - are also discussed, including a novel frequency compensation method for LDO.",https://ieeexplore.ieee.org/document/4277880/,LOCKED,4277880,72,6,Journals,10.1109/JSSC.2007.900284,1731,https://ieeexplore.ieee.org/document/4277880/,4277855,1558-173X,8.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4277880,Aug. 2007,4,IEEE Journal of Solid-State Circuits,2007,IEEE,5,1723,A Highly Integrated Power Management IC for Advanced Mobile Applications,42,"[{'affiliation': 'Qualcomm Inc., San Diego', 'authorUrl': 'https://ieeexplore.ieee.org/author/37287369600', 'author_order': 1, 'full_name': 'Chunlei Shi', 'id': 37287369600}, {'affiliation': 'Qualcomm Inc., San Diego', 'authorUrl': 'https://ieeexplore.ieee.org/author/37281747900', 'author_order': 2, 'full_name': 'Brett C. Walker', 'id': 37281747900}, {'affiliation': 'Qualcomm Inc., San Diego', 'authorUrl': 'https://ieeexplore.ieee.org/author/37294690400', 'author_order': 3, 'full_name': 'Eric Zeisel', 'id': 37294690400}, {'affiliation': 'Qualcomm Inc., San Diego', 'authorUrl': 'https://ieeexplore.ieee.org/author/37289808400', 'author_order': 4, 'full_name': 'Brian Hu', 'id': 37289808400}, {'affiliation': 'Qualcomm Inc., San Diego', 'authorUrl': 'https://ieeexplore.ieee.org/author/37294690900', 'author_order': 5, 'full_name': 'Gene H. McAllister', 'id': 37294690900}]","['Buck regulator', 'DC-DC converter', 'LDO', 'linear charger', 'power management']","['Energy management', 'Application specific integrated circuits', 'Integrated circuit technology', 'Wireless communication', 'Business communication', 'Batteries', 'Power generation', 'Power system management', 'Costs', 'System-level design']"
5,"This brief presents a highly integrated wirelessly powered battery charging circuit for miniature lithium (Li)-ion rechargeable batteries used in medical implant applications. An inductive link and integrated Schottky barrier rectifying diodes are used to extract the DC signal from a power carrier while providing low forward voltage drop for improved efficiency. The battery charger employs a new control loop that relaxes comparator resolution requirements, provides simultaneous operation of constant-current and constant-voltage loops, and eliminates the external current sense resistor from the charging path. The accuracy of the end-of-charge (EOC) detection is primarily determined by the voltage drop across matched resistors and current-sources and the offset voltage of the sense comparator. Experimental results in 0.6-mum 3M-2P CMOS technology indicate that plusmn1.3% (or plusmn20 muA) EOC accuracy can be obtained under worst case conditions for a comparator offset voltage of plusmn5 mV. The circuit measures roughly 1.74 mm<sup>2</sup> and dissipates 8.4 mW in the charging phase while delivering a load current of 1.5 mA at 4.1 V (or 6.15 mW) for an efficiency of 73%.",https://ieeexplore.ieee.org/document/4349228/,LOCKED,4349228,167,9,Journals,10.1109/TCSII.2007.901613,916,https://ieeexplore.ieee.org/document/4349228/,4349216,1558-3791,10.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4349228,Oct. 2007,8920,IEEE Transactions on Circuits and Systems II: Express Briefs,2007,IEEE,6,912,A Wireless Power Interface for Rechargeable Battery Operated Medical Implants,54,"[{'affiliation': 'Florida Univ., Gainesville', 'authorUrl': 'https://ieeexplore.ieee.org/author/37290524900', 'author_order': 1, 'full_name': 'Pengfei Li', 'id': 37290524900}, {'affiliation': 'Florida Univ., Gainesville', 'authorUrl': 'https://ieeexplore.ieee.org/author/37278346500', 'author_order': 2, 'full_name': 'Rizwan Bashirullah', 'id': 37278346500}]","['Battery charger', 'medical implants', 'rechargeable lithium (Li)-ion battery', 'wireless power interface']","['Batteries', 'Implants', 'Circuits', 'Resistors', 'CMOS technology', 'Lithium', 'Schottky barriers', 'Schottky diodes', 'Low voltage', 'Signal resolution']"
6,"An autonomous power generator unit including two micropower sources and their management IC has been fabricated: a RF power receiver and a 1 V miniature thermogenerator combined with a micropower DC/DC up-converter are combined with a 78% efficiency manager and charger, and a 5 nW discharge monitor to manage and store the harvested energy in a 30 above-IC deposited microbattery.",https://ieeexplore.ieee.org/document/4443197/,LOCKED,4443197,130,9,Journals,10.1109/JSSC.2007.914725,255,https://ieeexplore.ieee.org/document/4443197/,4443178,1558-173X,1.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4443197,Jan. 2008,4,IEEE Journal of Solid-State Circuits,2008,IEEE,7,246,Efficient Power Management Circuit: From Thermal Energy Harvesting to Above-IC Microbattery Energy Storage,43,"[{'authorUrl': 'https://ieeexplore.ieee.org/author/37697046100', 'author_order': 1, 'full_name': 'HÉlÈne Lhermet', 'id': 37697046100}, {'affiliation': 'CEA/LETIMINATEC, Grenoble, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37601590500', 'author_order': 2, 'full_name': 'Cyril Condemine', 'id': 37601590500}, {'affiliation': 'CEA/LETIMINATEC, Grenoble, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37297147100', 'author_order': 3, 'full_name': 'Marc Plissonnier', 'id': 37297147100}, {'affiliation': 'CEA/LETIMINATEC, Grenoble, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37697047200', 'author_order': 4, 'full_name': 'RaphaËl Salot', 'id': 37697047200}, {'affiliation': 'CEA/LETIMINATEC, Grenoble, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37064019400', 'author_order': 5, 'full_name': 'Patrick Audebert', 'id': 37064019400}, {'affiliation': 'CEA/LETIMINATEC, Grenoble, France', 'authorUrl': 'https://ieeexplore.ieee.org/author/37697050100', 'author_order': 6, 'full_name': 'Marion Rosset', 'id': 37697050100}]","['Autonomous microsystem', 'energy harvesting', 'microbattery', 'thermogenerator', 'power management integrated circuit']","['Thermal management', 'Energy management', 'Circuits', 'Energy storage', 'Thermoelectricity', 'Power generation', 'Radio frequency', 'Monitoring', 'Wireless sensor networks', 'Temperature']"
7,"This paper presents the design consideration and performance analysis of an on-line, low-cost, high performance, and single-phase uninterruptible power supply (UPS) system based on a boost integrated flyback rectifier/energy storage dc/dc (BIFRED) converter. The system consists of an isolated ac/dc BIFRED converter, a bidirectional dc/dc converter, and a dc/ac inverter. It provides input power factor correction, electric isolation of the input from the output, low battery voltage, and control simplicity. Unlike conventional UPS topologies, the electrical isolation is provided using a high frequency transformer that results in a smaller size and lower cost. Detailed circuit operation, analysis, as well as simulation and experiment results are presented. A novel digital control technique is also presented for UPS inverter control. This controller follows the reference current and voltage of the inverter with a delay of two and four sampling periods, respectively.",https://ieeexplore.ieee.org/document/4444606/,LOCKED,4444606,72,0,Journals,10.1109/TIE.2007.911199,730,https://ieeexplore.ieee.org/document/4444606/,4444586,1557-9948,2.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4444606,Feb. 2008,41,IEEE Transactions on Industrial Electronics,2008,IEEE,8,722,An On-Line UPS System With Power Factor Correction and Electric Isolation Using BIFRED Converter,55,"[{'affiliation': 'Univ. of Wisconsin, Milwaukee', 'authorUrl': 'https://ieeexplore.ieee.org/author/37271173000', 'author_order': 1, 'full_name': 'Adel Nasiri', 'id': 37271173000}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37271589300', 'author_order': 2, 'full_name': 'Zhong Nie', 'id': 37271589300}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37830524100', 'author_order': 3, 'full_name': 'Stoyan B. Bekiarov', 'id': 37830524100}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37273794700', 'author_order': 4, 'full_name': 'Ali Emadi', 'id': 37273794700}]","['Battery charger', 'digital control', 'integrated converters', 'inverters', 'modeling and analysis', 'power electronic converters', 'rectifiers', 'uninterruptible power supplies (UPSs)']","['Uninterruptible power systems', 'Power factor correction', 'Inverters', 'Voltage control', 'Performance analysis', 'Rectifiers', 'Energy storage', 'Analog-digital conversion', 'DC-DC power converters', 'Batteries']"
8,"An uninterruptible power supply (UPS) with high power factor and two conversion stages is suggested. The double-conversion configuration has three stages, but normally, only two stages are operating at the same time. The first stage of the proposed scheme integrates the power-factor-correction stage and the battery charger of the double-conversion configuration, obtaining a two-stage UPS. The second stage is based on the theory of inverter with boosting capabilities. The battery set has not only been completely isolated, but it has also been charged with a small change at the controller set point; these particular characteristics facilitate the system maintenance and simplify its operation. Additionally, the battery-set voltage is low, reducing the weight and size. The converter operation, analysis, design, and experimental results are shown. The proposed UPS approach is practical in low-power applications (les 500 W).",https://ieeexplore.ieee.org/document/4455606/,LOCKED,4455606,21,1,Journals,10.1109/TIE.2008.918475,2962,https://ieeexplore.ieee.org/document/4455606/,4582432,1557-9948,8.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4455606,Aug. 2008,41,IEEE Transactions on Industrial Electronics,2008,IEEE,9,2954,Two-Stage Uninterruptible Power Supply With High Power Factor,55,"[{'affiliation': 'Electron. Eng. Dept., Inst. Tecnol. de Celaya, Celaya', 'authorUrl': 'https://ieeexplore.ieee.org/author/37300735800', 'author_order': 1, 'full_name': 'Nimrod Vazquez', 'id': 37300735800}, {'affiliation': 'Electron. Eng. Dept., Inst. Tecnol. de Celaya, Celaya', 'authorUrl': 'https://ieeexplore.ieee.org/author/38284173500', 'author_order': 2, 'full_name': 'JesÚs Villegas-Saucillo', 'id': 38284173500}, {'affiliation': 'Electron. Eng. Dept., Inst. Tecnol. de Celaya, Celaya', 'authorUrl': 'https://ieeexplore.ieee.org/author/37275106400', 'author_order': 3, 'full_name': 'Claudia Hernandez', 'id': 37275106400}, {'affiliation': 'Electron. Eng. Dept., Inst. Tecnol. de Celaya, Celaya', 'authorUrl': 'https://ieeexplore.ieee.org/author/37270918300', 'author_order': 4, 'full_name': 'Elias Rodriguez', 'id': 37270918300}, {'authorUrl': 'https://ieeexplore.ieee.org/author/37275107700', 'author_order': 5, 'full_name': 'Jaime Arau', 'id': 37275107700}]","['Battery chargers', 'boost inverters', 'high power factor', 'uninterruptible power systems', 'Battery chargers', 'boost inverters', 'high power factor', 'uninterruptible power systems']","['Uninterruptible power systems', 'Reactive power', 'Batteries', 'Inverters', 'Low voltage', 'Control systems', 'Topology', 'Boosting', 'Application software', 'Microcomputers']"
9,An inductor-less on-chip micro power management system for light energy harvesting applications is presented. We target at wide variety of applications that operate at different lighting environments ranging from strong sunlight to dim indoor lighting where the output voltage from the photovoltaic cells is low. A step-up charge pump is used to directly operate the circuit or to charge a rechargeable battery. The power management system operation is discussed and the control strategy for transferring the maximum output power from the power system is presented. Low power circuit design is proposed for the implementation of the system maximum output power control. The system was implemented using a 0.35-mum CMOS process. The chip was fabricated and measurements were conducted for different lighting conditions to demonstrate the system operation and verify the control strategy.,https://ieeexplore.ieee.org/document/4801595/,LOCKED,4801595,94,0,Journals,10.1109/TVLSI.2008.2001083,1142,https://ieeexplore.ieee.org/document/4801595/,5170177,1557-9999,8.0,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4801595,Aug. 2009,92,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,2009,IEEE,10,1138,The Design of a Micro Power Management System for Applications Using Photovoltaic Cells With the Maximum Output Power Control,17,"[{'affiliation': 'Dept. of Electron. & Comput. Eng., Hong Kong Univ. of Sci. & Technol., Kowloon, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37398759300', 'author_order': 1, 'full_name': 'Hui Shao', 'id': 37398759300}, {'affiliation': 'Dept. of Electron. & Comput. Eng., Hong Kong Univ. of Sci. & Technol., Kowloon, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37278549800', 'author_order': 2, 'full_name': 'Chi-Ying Tsui', 'id': 37278549800}, {'affiliation': 'Dept. of Electron. & Comput. Eng., Hong Kong Univ. of Sci. & Technol., Kowloon, China', 'authorUrl': 'https://ieeexplore.ieee.org/author/37269638700', 'author_order': 3, 'full_name': 'Wing-Hung Ki', 'id': 37269638700}]","['Battery chargers', 'energy management', 'photovoltaic power systems', 'power system control']","['Energy management', 'Power system management', 'Photovoltaic cells', 'Power generation', 'Control systems', 'System-on-a-chip', 'Voltage', 'Charge pumps', 'Circuits', 'Batteries']"
